Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10 n=3 m=3,Dynamic (CUDA),GPU,0.158822
N=1000 M=1000 n=5 m=5,Dynamic (CUDA),GPU,0.356246
N=10 M=10000 n=5 m=5,Dynamic (CUDA),GPU,0.182976
N=10000 M=10 n=5 m=5,Dynamic (CUDA),GPU,0.189133
N=10000 M=10000 n=5 m=5,Dynamic (CUDA),GPU,17.210060
